Attribute,Description
RPHOTO_Y,KBM-Flags-Buyer - Retail - Photo & Video Equipment-Yes
RSPECFD_Y,KBM-Flags-Buyer - Retail - Speciality Food-Yes
RSPECGFT_Y,KBM-Flags-Buyer - Retail - Speciality Gifts-Yes
RSPORTS_Y,KBM-Flags-Buyer - Retail - Sports & Leisure-Yes
RSTATION_Y,KBM-Flags-Buyer - Retail - Stationery-Yes
RTRAVEL_Y,KBM-Flags-Buyer - Retail - Travel-Yes
RVIDDVD_Y,KBM-Flags-Buyer - Retail - Videos/DVDs-Yes
SGDI_Y,KBM-Survey Group - Do It Yourself-Yes
SGFA_Y,KBM-Survey Group - Fine Arts-Yes
SGHL_Y,KBM-Survey Group - Home Life-Yes
SGLL_Y,KBM-Survey Group - Luxury Life-Yes
SGOE_Y,KBM-Survey Group - Outdoor Enthusiasts-Yes
SGPA_Y,KBM-Survey Group - Physically Active-Yes
SGSE_Y,KBM-Survey Group - Sports Enthusiasts-Yes
SGTC_Y,KBM-Survey Group - Techies-Yes
SGUP_Y,KBM-Survey Group - Up Town-Yes
SNOW_Y,KBM-Flags-Snowmobiles-Yes
SOHOHH_Y,KBM-Flags-SOHO Indicator Household-Yes
SOHOIN_Y,KBM-Flags-SOHO Indicator Individual-Yes
SPEA_Y,KBM-Flags-Credit Active - Specialty Apparel-Yes
SPEC_Y,KBM-Flags-Credit Active - Specialty-Yes
SPGD_Y,KBM-Flags-Credit Active - Sporting Goods-Yes
SRET_Y,KBM-Flags-Credit Active - Standard Retail-Yes
TRAD,KBM-Number Of Trade Lines
TRVL_Y,KBM-Flags-Credit Active - Travel/Personal Services-Yes
TVMA_Y,KBM-Flags-Credit Active - TV/Mail Order Purchases-Yes
VOTE_Y,KBM-Flags-Voter Flag-Yes
ATV_Y,KBM-Flags-All Terrain Vehicles-Yes
CBSA,KBM-Census CBSA
CDOB,KBM-ID-CDOB Century Date Of Birth
CEBI,KBM-Census Median HH Effective Buying Income
CRRT,KBM-ID-CRRT Carrier Route
CSAG_rc,KBM-Number-Dwelling Structure Year Built-Recoded
DWELLING_AGE,KBM-HUM - Age of Dwelling Structure
N2BC,KBM-Census-Census Block Code
N2BTN,KBM-ID-Census Basic Tract Number
N2DMA,KBM-ID Geo-Designated Market Area
N2GLV,KBM-CENSUS N2GLV
N2TBG,KBM-ID-Census Basic Block Group
N2TSC,KBM-ID-Census Basic Tract Sub Code Number
OC,KBM-Category-Occupation Code
OC_10_PTec,KBM-Category-Occupation Code-Professional-Technical
OC_11_Doc,KBM-Category-Occupation Code-Doctors
OC_12_Law,KBM-Category-Occupation Code-Lawyers
OC_13_Teach,KBM-Category-Occupation Code-Teachers
OC_20_Adm,KBM-Category-Occupation Code-Administration-Managerial
OC_21_Manag,KBM-Category-Occupation Code-Management
OC_22_Propr,KBM-Category-Occupation Code-Proprietors
OC_23_Superv,KBM-Category-Occupation Code-Supervisors
OC_30_Sales,KBM-Category-Occupation Code-Sales-Services
OC_40_Cler,KBM-Category-Occupation Code-Clerical-White Collar
OC_50_Craft,KBM-Category-Occupation Code-Craftsman-Blue Collar
OC_51_Fore,KBM-Category-Occupation Code-Foreman
OC_52_Oper,KBM-Category-Occupation Code-Operatives-Blue Collar
OC_60_Farm,KBM-Category-Occupation Code-Farm
OC_61_UNSK,KBM-Category-Occupation Code-Unskilled
OC_62_SerW,KBM-Category-Occupation Code-Service Workers
OC_70_Mil,KBM-Category-Occupation Code-Military
OC_80_Stud,KBM-Category-Occupation Code-Student
OC_90_Ret,KBM-Category-Occupation Code-Retired
OC_91_HWf,KBM-Category-Occupation Code-Housewife
OC_93_NCD,KBM-Category-Occupation Code-Source given but not coded
PRDM_Y,KBM-Category-Production Mailable-Yes
RACE,KBM-Category-Ethnicity-Image Race Code
RACE_B_Af,KBM-Category-Ethnicity-Image Race Code-African American
RACE_H_His,KBM-Category-Ethnicity-Image Race Code-Hispanic
RACE_W_Cau,KBM-Category-Ethnicity-Image Race Code-Caucasian
RACE_OTHR,KBM-Category-Ethnicity-Image Race Code-Other
REL,KBM-Category-Religion Code
REL_C_Cath,KBM-Category-Religion Code-Catholic
REL_P,KBM-Category-Religion Code-Protestant
REL_S_Shin,KBM-Category-Religion Code-Shinto
REL_OTHR,KBM-Category-Religion Code-Other
SCF,KBM-ID-SCF (3 digit ZIP) Sectional Center Facility
TUOC,KBM-Category-Image Occupation Individual
TUOC_A001_Acc,KBM-Category-Image Occupation Individual-Accountant
TUOC_A264_SelfE,KBM-Category-Image Occupation Individual-Self Employed
TUOC_D173_Manag,KBM-Category-Image Occupation Individual-Manager
TUOC_E149_InsurAg,KBM-Category-Image Occupation Individual-Insurance/Agent
TUOC_E250_Realtor,KBM-Category-Image Occupation Individual-Real Estate/Realtor
TUOC_E257_Sales,KBM-Category-Image Occupation Individual-Sales
TUOC_F157_Labor,KBM-Category-Image Occupation Individual-Laborer
TUOC_G228_Pharm,KBM-Category-Image Occupation Individual-Pharmacist/Pharmacy
TUOC_I143_HomeM,KBM-Category-Image Occupation Individual-Homemaker
TUOC_M209_Nurse,KBM-Category-Image Occupation Individual-Nurse (Registered)
TUOC_OTHR,KBM-Category-Image Occupation Individual-Other
TUOCS,KBM-Category-Image Spouse Individual Occupation
TUOCS_A001_Acc,KBM-Category-Image Spouse Individual Occupation-Accountant
TUOCS_A264_SelfEm,KBM-Category-Image Spouse Individual Occupation-Self Employed
TUOCS_D173_Manag,KBM-Category-Image Spouse Individual Occupation-Manager
TUOCS_E149_InsurAg,KBM-Category-Image Spouse Individual Occupation-Insurance/Agent
TUOCS_E250_Realtor,KBM-Category-Image Spouse Individual Occupation-Real Estate/Realtor
TUOCS_E257_Sales,KBM-Category-Image Spouse Individual Occupation-Sales
TUOCS_F157_Labor,KBM-Category-Image Spouse Individual Occupation-Laborer
TUOCS_G228_Pharm,KBM-Category-Image Spouse Individual Occupation-Pharmacist/Pharmacy
TUOCS_I143_HomeM,KBM-Category-Image Spouse Individual Occupation-Homemaker
TUOCS_M209_Nurse,KBM-Category-Image Spouse Individual Occupation-Nurse (Registered)
TUOCS_OTHR,KBM-Category-Image Spouse Individual Occupation-Other
ZP42,KBM-GEO-Delivery Point (Zip +4 Extension)
N2ALV,KBM-Census Coding Level
C210APVT,KBM-Census 2010 Percent Above Poverty Level
C210BPVT,KBM-Census 2010 Percent Below Poverty Level
C210M200,KBM-Census 2010 Percent Moved Since 2000
C210B200,KBM-Census 2010 Percent Built 2000 Or Later
CFCC,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code
CFCC_F1,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Pre-Child Family
CFCC_F2,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Childbearing Family
CFCC_F3,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Early Child-Rearing Family
CFCC_F4,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Late Child-Rearing Family
CFCC_F5,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Child-Launching Family
CFCC_F6,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Post-Child Family
CFCC_G1,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-College Dormitories
CFCC_G2,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Military Barracks
CFCC_G3,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Mental Hospitals
CFCC_G4,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Homes for the Aged
CFCC_G5,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Other Inst Grp Qrts
CFCC_G6,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Other Non-Inst Grp Qtrs
CFCC_N1,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Young Singles
CFCC_N2,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Senior Citizens
CFCC_NA,OBSOLETE DO NOT USE IN MODELS-KBM-Category-Census Family Life Cycle Code-Not Assigned QUIT
CPDC,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Census Population Density Centile
N2PMI,OBSOLETE DO NOT USE IN MODELS-KBM-Number-Census Percent Move Ins 90 - 00
N2PSB,OBSOLETE DO NOT USE IN MODELS-KBM-Number-Census Percent Structures Built In 90-00
lat,KBM-Z4-Latitude
lng,KBM-Z4 Longitude
r10_CBLU,OBSOLETE-DO NOT USE IN MODELS-HUM-Rank Decile of CBLU
r10_CEBI,OBSOLETE-DO NOT USE IN MODELS-HUM-Rank Decile of CEBI
r10_CSAG,OBSOLETE-DO NOT USE IN MODELS-HUM-Rank Decile of CSAG
r10_CWHT,OBSOLETE-DO NOT USE IN MODELS-HUM-Rank Decile of CWHT
r10_N2MOB,OBSOLETE-DO NOT USE IN MODELS-HUM-Rank Decile of N2MOB
r10_N2PHI,OBSOLETE-DO NOT USE IN MODELS-HUM-Rank Decile of N2PHI
r10_N2PMI,OBSOLETE-DO NOT USE IN MODELS-HUM-Rank Decile of N2PMI
r10_N2PWH,OBSOLETE-DO NOT USE IN MODELS-HUM-Rank Decile of N2PWH
Rank_11p,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-11.Rank_11p-High-Tends to Trust H Ins Cos and Sales Reps
Rank_14n,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-14.Rank_14n-High-Tends not to be frugal
Rank_15n,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-15.Rank_15n-High-Tends to Not be a Print and Mass Media user
Rank_17n,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-17.Rank_17n-High-Tends to not be a care giver
Rank_20n,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-20.Rank_20n-High-Tends not to feel overwhelmed
Rank_21,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-21.Rank_21-High-Tends to be very focused on themselves
Rank_21n,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-21.Rank_21n-High-Tends to not be as focused on themselves
Rank_2p,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-02.Rank_2p-High-Tend to report eating health foods
Rank_5n,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-05.Rank_5n-High-Tend to not have a positive outlook
Rank_6n,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-06.Rank_6n-High-Tends to Struggle with Medical language
Rank_8p,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-08.Rank_8p-High-Tends to be Dependent on others
Rank_9n,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-09.Rank_9n-High-Tends to not use the internet
Rank_9p,OBSOLETE-DO NOT USE IN MODELS-HUM-ATT-09.Rank_9p-High-Tends to use the internet
MATCH_LEVEL,HUM-Match Indicator 1 = KBM Ind - 2 = HUM Ind - 3 = HUM HHLD
IRIHLTH,KBM-Decile-Insurance Responder Index - Health
IRIHLTH_0,KBM-Number-Insurance Responder Index - Health-0
IRIHLTH_1,KBM-Number-Insurance Responder Index - Health-1
IRIHLTH_2,KBM-Number-Insurance Responder Index - Health-2
IRIHLTH_3,KBM-Number-Insurance Responder Index - Health-3
IRIHLTH_4,KBM-Number-Insurance Responder Index - Health-4
IRIHLTH_5,KBM-Number-Insurance Responder Index - Health-5
IRIHLTH_6,KBM-Number-Insurance Responder Index - Health-6
IRIHLTH_7,KBM-Number-Insurance Responder Index - Health-7
IRIHLTH_8,KBM-Number-Insurance Responder Index - Health-8
IRIHLTH_9,KBM-Number-Insurance Responder Index - Health-9
IRIHLTH_unk,KBM-Number-Insurance Responder Index - Health-Not Calculated
IRISNR,KBM-Decile-Insurance Responder Index - Seniors
IRISNR_0,KBM-Number-Insurance Responder Index - Seniors-0
IRISNR_1,KBM-Number-Insurance Responder Index - Seniors-1
IRISNR_2,KBM-Number-Insurance Responder Index - Seniors-2
IRISNR_3,KBM-Number-Insurance Responder Index - Seniors-3
IRISNR_4,KBM-Number-Insurance Responder Index - Seniors-4
IRISNR_5,KBM-Number-Insurance Responder Index - Seniors-5
IRISNR_6,KBM-Number-Insurance Responder Index - Seniors-6
IRISNR_7,KBM-Number-Insurance Responder Index - Seniors-7
IRISNR_8,KBM-Number-Insurance Responder Index - Seniors-8
IRISNR_9,KBM-Number-Insurance Responder Index - Seniors-9
IRISNR_unk,KBM-Number-Insurance Responder Index - Seniors-Not Calculated
LTCINDX,KBM-Decile-Long Term Care Insurance Index
LTCINDX_0,KBM-Number-Long Term Care Insurance Index-0
LTCINDX_1,KBM-Number-Long Term Care Insurance Index-1
LTCINDX_2,KBM-Number-Long Term Care Insurance Index-2
LTCINDX_3,KBM-Number-Long Term Care Insurance Index-3
LTCINDX_4,KBM-Number-Long Term Care Insurance Index-4
LTCINDX_5,KBM-Number-Long Term Care Insurance Index-5
LTCINDX_6,KBM-Number-Long Term Care Insurance Index-6
LTCINDX_7,KBM-Number-Long Term Care Insurance Index-7
LTCINDX_8,KBM-Number-Long Term Care Insurance Index-8
LTCINDX_9,KBM-Number-Long Term Care Insurance Index-9
LTCINDX_unk,KBM-Number-Long Term Care Insurance Index-Not Calculated
MEDSUP,KBM-Decile-Medicare Supplement Insurance Index
MEDSUP_0,KBM-Number-Medicare Supplement Insurance Responder Index-0
MEDSUP_1,KBM-Number-Medicare Supplement Insurance Responder Index-1
MEDSUP_2,KBM-Number-Medicare Supplement Insurance Responder Index-2
MEDSUP_3,KBM-Number-Medicare Supplement Insurance Responder Index-3
MEDSUP_4,KBM-Number-Medicare Supplement Insurance Responder Index-4
MEDSUP_5,KBM-Number-Medicare Supplement Insurance Responder Index-5
MEDSUP_6,KBM-Number-Medicare Supplement Insurance Responder Index-6
MEDSUP_7,KBM-Number-Medicare Supplement Insurance Responder Index-7
MEDSUP_8,KBM-Number-Medicare Supplement Insurance Responder Index-8
MEDSUP_9,KBM-Number-Medicare Supplement Insurance Responder Index-9
MEDSUP_unk,KBM-Flags-Medicare Supplement Insurance Index-Not Calculated
STLAPP,KBM-IND-Short Term Loan Applicants
ETHEID,KBM-CATEGORY-Ethnicity
ETHLANG,KBM-CATEGORY-Language
LVWL20,KBM-CATGEORY-Living Well 2.0
ENGAGE,KBM-Decile-Health Insurance Engagement Index
INFLUENC,KBM-Decile-Health Insurance Influence Index
IRILIFE,KBM-Decile-Insurance Responder Index - Life
IRIAUTO,KBM-Decile-Insurance Responder Index - Auto
C210PDSC,KBM-NUM-Census 2010 Population Density Centile - State
C210PDUC,KBM-NUM-Census 2010 Population Density Centile - US
STLAPP_Y,KBM-Flags-Short Term Loan Applicants
ENGAGE_0,KBM-Flags-Health Insurance Engagement Index-0
ENGAGE_1,KBM-Flags-Health Insurance Engagement Index-1
ENGAGE_2,KBM-Flags-Health Insurance Engagement Index-2
ENGAGE_3,KBM-Flags-Health Insurance Engagement Index-3
ENGAGE_4,KBM-Flags-Health Insurance Engagement Index-4
ENGAGE_5,KBM-Flags-Health Insurance Engagement Index-5
ENGAGE_6,KBM-Flags-Health Insurance Engagement Index-6
ENGAGE_7,KBM-Flags-Health Insurance Engagement Index-7
ENGAGE_8,KBM-Flags-Health Insurance Engagement Index-8
ENGAGE_9,KBM-Flags-Health Insurance Engagement Index-9
INFLUENC_0,KBM-Flags-Health Insurance Influence Index-0
INFLUENC_1,KBM-Flags-Health Insurance Influence Index-1
INFLUENC_2,KBM-Flags-Health Insurance Influence Index-2
INFLUENC_3,KBM-Flags-Health Insurance Influence Index-3
INFLUENC_4,KBM-Flags-Health Insurance Influence Index-4
INFLUENC_5,KBM-Flags-Health Insurance Influence Index-5
INFLUENC_6,KBM-Flags-Health Insurance Influence Index-6
INFLUENC_7,KBM-Flags-Health Insurance Influence Index-7
INFLUENC_8,KBM-Flags-Health Insurance Influence Index-8
INFLUENC_9,KBM-Flags-Health Insurance Influence Index-9
IRILIFE_0,KBM-Flags-Insurance Responder Index - Life -0
IRILIFE_1,KBM-Flags-Insurance Responder Index - Life -1
IRILIFE_2,KBM-Flags-Insurance Responder Index - Life -2
IRILIFE_3,KBM-Flags-Insurance Responder Index - Life -3
IRILIFE_4,KBM-Flags-Insurance Responder Index - Life -4
IRILIFE_5,KBM-Flags-Insurance Responder Index - Life -5
IRILIFE_6,KBM-Flags-Insurance Responder Index - Life -6
IRILIFE_7,KBM-Flags-Insurance Responder Index - Life -7
IRILIFE_8,KBM-Flags-Insurance Responder Index - Life -8
IRILIFE_9,KBM-Flags-Insurance Responder Index - Life -9
IRIAUTO_0,KBM-Flags-Insurance Responder Index - Auto -0
IRIAUTO_1,KBM-Flags-Insurance Responder Index - Auto -1
IRIAUTO_2,KBM-Flags-Insurance Responder Index - Auto -2
IRIAUTO_3,KBM-Flags-Insurance Responder Index - Auto -3
IRIAUTO_4,KBM-Flags-Insurance Responder Index - Auto -4
IRIAUTO_5,KBM-Flags-Insurance Responder Index - Auto -5
IRIAUTO_6,KBM-Flags-Insurance Responder Index - Auto -6
IRIAUTO_7,KBM-Flags-Insurance Responder Index - Auto -7
IRIAUTO_8,KBM-Flags-Insurance Responder Index - Auto -8
IRIAUTO_9,KBM-Flags-Insurance Responder Index - Auto -9
LVWL20_1,KBM-Flags-Living Well 2.0 - 1
LVWL20_2,KBM-Flags-Living Well 2.0 - 2
LVWL20_3,KBM-Flags-Living Well 2.0 - 3
LVWL20_4,KBM-Flags-Living Well 2.0 - 4
LVWL20_5,KBM-Flags-Living Well 2.0 - 5
LVWL20_6,KBM-Flags-Living Well 2.0 - 6
ETHLANG_01,KBM-Flags-New Language-English
ETHLANG_20,KBM-Flags-New Language-Spanish
ETHLANG_7A,KBM-Flags-New Language-Hindi
ETHLANG_53,KBM-Flags-New Language-Chinese
ETHLANG_62,KBM-Flags-New Language-Vietnamese
ETHLANG_17,KBM-Flags-New Language-French
ETHLANG_OTH,KBM-Category-New Language - Other
ETHEID_01,KBM-Flags-New Ethnicity-English
ETHEID_20,KBM-Flags-New Ethnicity-Hispanic
ETHEID_10,KBM-Flags-New Ethnicity-German
ETHEID_15,KBM-Flags-New Ethnicity-Irish
ETHEID_02,KBM-Flags-New Ethnicity-Scottish
ETHEID_19,KBM-Flags-New Ethnicity-Italian
ETHEID_00,KBM-Flags-New Ethnicity-Uncoded
ETHEID_E1,KBM-Flags-New Ethnicity-African American
ETHEID_17,KBM-Flags-New Ethnicity-French
ETHEID_E5,KBM-Flags-New Ethnicity-African American
ETHEID_85,KBM-Flags-New Ethnicity-African American
ETHEID_16,KBM-Flags-New Ethnicity-Welsh
ETHEID_OTH,KBM-Category-New Ethnicity- Other
CHANPR1,KBM-Flags-Channel Preference - First Preference
CHANPR2,KBM-Flags-Channel Preference - Second Preference
CHANPRC,KBM-Decile-Channel Preference Index - Cell
CHANPRE,KBM-Decile-Channel Preference Index - Email
CHANPRM,KBM-Decile-Channel Preference Index - Mail
CHANPRP,KBM-Decile-Channel Preference Index - Phone
CHANPRT,KBM-Decile-Channel Preference Index - Text
CHANPRW,KBM-Decile-Channel Preference Index - Web
HMVLADD,KBM-Number-Home Value Address Level
LNVLRTIO,KBM-Number-Loan to Value Ratio
CHANPR1_C,KBM-Flags-Channel Preference - First Preference - Cell
CHANPR1_E,KBM-Flags-Channel Preference - First Preference - Email
CHANPR1_M,KBM-Flags-Channel Preference - First Preference - Mail
CHANPR1_O,KBM-Flags-Channel Preference - First Preference - Other
CHANPR1_P,KBM-Flags-Channel Preference - First Preference - Phone
CHANPR1_T,KBM-Flags-Channel Preference - First Preference - Text
CHANPR1_W,KBM-Flags-Channel Preference - First Preference - Web
CHANPR2_C,KBM-Flags-Channel Preference - Second Preference - Cell
CHANPR2_E,KBM-Flags-Channel Preference - Second Preference - Email
CHANPR2_M,KBM-Flags-Channel Preference - Second Preference - Mail
CHANPR2_O,KBM-Flags-Channel Preference - Second Preference - Other
CHANPR2_P,KBM-Flags-Channel Preference - Second Preference - Phone
CHANPR2_T,KBM-Flags-Channel Preference - Second Preference - Text
CHANPR2_W,KBM-Flags-Channel Preference - Second Preference - Web
CHANPRC_0,KBM-Flags-Channel Preference Index - Cell - 0
CHANPRC_1,KBM-Flags-Channel Preference Index - Cell - 1
CHANPRC_2,KBM-Flags-Channel Preference Index - Cell - 2
CHANPRC_3,KBM-Flags-Channel Preference Index - Cell - 3
CHANPRC_4,KBM-Flags-Channel Preference Index - Cell - 4
CHANPRC_5,KBM-Flags-Channel Preference Index - Cell - 5
CHANPRC_6,KBM-Flags-Channel Preference Index - Cell - 6
CHANPRC_7,KBM-Flags-Channel Preference Index - Cell - 7
CHANPRC_8,KBM-Flags-Channel Preference Index - Cell - 8
CHANPRC_9,KBM-Flags-Channel Preference Index - Cell - 9
CHANPRE_0,KBM-Flags-Channel Preference Index - Email - 0
CHANPRE_1,KBM-Flags-Channel Preference Index - Email - 1
CHANPRE_2,KBM-Flags-Channel Preference Index - Email - 2
CHANPRE_3,KBM-Flags-Channel Preference Index - Email - 3
CHANPRE_4,KBM-Flags-Channel Preference Index - Email - 4
CHANPRE_5,KBM-Flags-Channel Preference Index - Email - 5
CHANPRE_6,KBM-Flags-Channel Preference Index - Email - 6
CHANPRE_7,KBM-Flags-Channel Preference Index - Email - 7
CHANPRE_8,KBM-Flags-Channel Preference Index - Email - 8
CHANPRE_9,KBM-Flags-Channel Preference Index - Email - 9
CHANPRM_0,KBM-Flags-Channel Preference Index - Mail - 0
CHANPRM_1,KBM-Flags-Channel Preference Index - Mail - 1
CHANPRM_2,KBM-Flags-Channel Preference Index - Mail - 2
CHANPRM_3,KBM-Flags-Channel Preference Index - Mail - 3
CHANPRM_4,KBM-Flags-Channel Preference Index - Mail - 4
CHANPRM_5,KBM-Flags-Channel Preference Index - Mail - 5
CHANPRM_6,KBM-Flags-Channel Preference Index - Mail - 6
CHANPRM_7,KBM-Flags-Channel Preference Index - Mail - 7
CHANPRM_8,KBM-Flags-Channel Preference Index - Mail - 8
CHANPRM_9,KBM-Flags-Channel Preference Index - Mail - 9
CHANPRP_0,KBM-Flags-Channel Preference Index - Phone - 0
CHANPRP_1,KBM-Flags-Channel Preference Index - Phone - 1
CHANPRP_2,KBM-Flags-Channel Preference Index - Phone - 2
CHANPRP_3,KBM-Flags-Channel Preference Index - Phone - 3
CHANPRP_4,KBM-Flags-Channel Preference Index - Phone - 4
CHANPRP_5,KBM-Flags-Channel Preference Index - Phone - 5
CHANPRP_6,KBM-Flags-Channel Preference Index - Phone - 6
CHANPRP_7,KBM-Flags-Channel Preference Index - Phone - 7
CHANPRP_8,KBM-Flags-Channel Preference Index - Phone - 8
CHANPRP_9,KBM-Flags-Channel Preference Index - Phone - 9
CHANPRT_0,KBM-Flags-Channel Preference Index - Text - 0
CHANPRT_1,KBM-Flags-Channel Preference Index - Text - 1
CHANPRT_2,KBM-Flags-Channel Preference Index - Text - 2
CHANPRT_3,KBM-Flags-Channel Preference Index - Text - 3
CHANPRT_4,KBM-Flags-Channel Preference Index - Text - 4
CHANPRT_5,KBM-Flags-Channel Preference Index - Text - 5
CHANPRT_6,KBM-Flags-Channel Preference Index - Text - 6
CHANPRT_7,KBM-Flags-Channel Preference Index - Text - 7
CHANPRT_8,KBM-Flags-Channel Preference Index - Text - 8
CHANPRT_9,KBM-Flags-Channel Preference Index - Text - 9
CHANPRW_0,KBM-Flags-Channel Preference Index - Web - 0
CHANPRW_1,KBM-Flags-Channel Preference Index - Web - 1
CHANPRW_2,KBM-Flags-Channel Preference Index - Web - 2
CHANPRW_3,KBM-Flags-Channel Preference Index - Web - 3
CHANPRW_4,KBM-Flags-Channel Preference Index - Web - 4
CHANPRW_5,KBM-Flags-Channel Preference Index - Web - 5
CHANPRW_6,KBM-Flags-Channel Preference Index - Web - 6
CHANPRW_7,KBM-Flags-Channel Preference Index - Web - 7
CHANPRW_8,KBM-Flags-Channel Preference Index - Web - 8
CHANPRW_9,KBM-Flags-Channel Preference Index - Web - 9
ESTINV30,KBM-Category-Estimated Household Investable Assets
ESTINV30_A,"KBM-Category-Estimated Household Investable Assets Less than $5,000"
ESTINV30_B,"KBM-Category-Estimated Household Investable Assets $5,000 - $24,999"
ESTINV30_C,"KBM-Category-Estimated Household Investable Assets $25,000 - $49,999"
ESTINV30_D,"KBM-Category-Estimated Household Investable Assets $50,000 - $74,999"
ESTINV30_E,"KBM-Category-Estimated Household Investable Assets $75,000 - $99,999"
ESTINV30_F,"KBM-Category-Estimated Household Investable Assets $100,000 - $249.999"
ESTINV30_G,"KBM-Category-Estimated Household Investable Assets $250,000 - $499,999"
ESTINV30_H,"KBM-Category-Estimated Household Investable Assets $500,000 - $749,999"
ESTINV30_I,"KBM-Category-Estimated Household Investable Assets $750,000 - $999,999"
ESTINV30_J,"KBM-Category-Estimated Household Investable Assets $1,000,000+"
ESTINV30_RC,KBM-Category-Estimated Household Investable Assets Recode
ESTDIS30,KBM-Category-Estimated Discretionary Income Percent
Z4HMVALU,KBM-Z4-Home Value
ZINCDEC,KBM-Number-ZIP Income Decile
ALTRUIST,KBM-Decile-Altruist Index
ALTRUIST_0,KBM-Flags-Altruist Index-0
ALTRUIST_1,KBM-Flags-Altruist Index-1
ALTRUIST_2,KBM-Flags-Altruist Index-2
ALTRUIST_3,KBM-Flags-Altruist Index-3
ALTRUIST_4,KBM-Flags-Altruist Index-4
ALTRUIST_5,KBM-Flags-Altruist Index-5
ALTRUIST_6,KBM-Flags-Altruist Index-6
ALTRUIST_7,KBM-Flags-Altruist Index-7
ALTRUIST_8,KBM-Flags-Altruist Index-8
ALTRUIST_9,KBM-Flags-Altruist Index-9
ANNUITRI,KBM-Decile-Annuity Responder Index
ANNUITRI_0,KBM-Flags-Annuity Responder Index-0
ANNUITRI_1,KBM-Flags-Annuity Responder Index-1
ANNUITRI_2,KBM-Flags-Annuity Responder Index-2
ANNUITRI_3,KBM-Flags-Annuity Responder Index-3
ANNUITRI_4,KBM-Flags-Annuity Responder Index-4
ANNUITRI_5,KBM-Flags-Annuity Responder Index-5
ANNUITRI_6,KBM-Flags-Annuity Responder Index-6
ANNUITRI_7,KBM-Flags-Annuity Responder Index-7
ANNUITRI_8,KBM-Flags-Annuity Responder Index-8
ANNUITRI_9,KBM-Flags-Annuity Responder Index-9
DNRINDX,KBM-Category-Presence of Donor
DNRINDX_P,KBM-Category-Presence of Donor-Probable
DNRINDX_Y,KBM-Category-Presence of Donor-Donor
DNRINDX_U,KBM-Category-Presence of Donor-Unknown
DIGIPLAY,KBM-Category-Digital Neighborhoods 2.0
DIGIPLAY_01,KBM-Flags-Digital Neighborhoods 2.0-01 Single and Loving the Tech Life
DIGIPLAY_02,KBM-Flags-Digital Neighborhoods 2.0-02 Online Shopping Lovers
DIGIPLAY_03,KBM-Flags-Digital Neighborhoods 2.0-03 Older Affluent Investors
DIGIPLAY_04,KBM-Flags-Digital Neighborhoods 2.0-04 Young Social Techies Wanting More
DIGIPLAY_05,KBM-Flags-Digital Neighborhoods 2.0-05 Not All That Interested Seniors
DIGIPLAY_06,KBM-Flags-Digital Neighborhoods 2.0-06 Older Shoppers in the Suburbs
DIGIPLAY_07,KBM-Flags-Digital Neighborhoods 2.0-07 Social Suburban Families
DIGIPLAY_08,KBM-Flags-Digital Neighborhoods 2.0-08 Seniors Adjusting to Technology
DIGIPLAY_09,KBM-Flags-Digital Neighborhoods 2.0-09 Rural Social Families
DIGIPLAY_10,KBM-Flags-Digital Neighborhoods 2.0-10 Affluent Tech-Savvy Urban Families
DIGIPLAY_11,KBM-Flags-Digital Neighborhoods 2.0-11 Rural Families with Online Kids
